PC,Target,IsBackward,LocalHistory,Taken
0x7e2985524373,0x7e29855247d0,0,0,0
0x7e2985524380,0x7e29855247f7,0,0,1
0x7e2985524389,0x7e29855243ef,0,0,1
0x7e29855243fb,0x7e2985524866,0,0,0
0x7e298552440b,0x7e298552441f,0,0,0
0x7e2985524419,0x7e2985524885,0,0,0
0x7e2985524427,0x7e29855248a4,0,0,0
0x7e2985524437,0x7e29855248c3,0,0,0
0x7e2985524447,0x7e2985524454,0,0,0
0x7e298552444e,0x7e29855248e2,0,0,0
0x7e298552445e,0x7e298552446e,0,0,0
0x7e2985524468,0x7e2985524901,0,0,0
0x7e2985524471,0x7e29855244fd,0,0,0
0x7e2985524496,0x7e29855244b3,0,0,1
0x7e29855244b8,0x7e29855244a0,1,0,1
0x7e29855244b1,0x7e29855244e8,0,0,0
0x7e29855244b8,0x7e29855244a0,1,1,1
0x7e29855244b1,0x7e29855244e8,0,0,0
0x7e29855244b8,0x7e29855244a0,1,3,0
0x7e29855244c0,0x7e29855244d8,0,0,0
0x7e29855244ca,0x7e29855244cf,0,0,1
0x7e29855244d6,0x7e29855244c8,1,0,1
0x7e29855244ca,0x7e29855244cf,0,1,1
0x7e29855244d6,0x7e29855244c8,1,1,1
0x7e29855244ca,0x7e29855244cf,0,3,1
0x7e29855244d6,0x7e29855244c8,1,3,1
0x7e29855244ca,0x7e29855244cf,0,7,1
0x7e29855244d6,0x7e29855244c8,1,7,1
0x7e29855244ca,0x7e29855244cf,0,15,1
0x7e29855244d6,0x7e29855244c8,1,15,1
0x7e29855244ca,0x7e29855244cf,0,31,1
0x7e29855244d6,0x7e29855244c8,1,31,1
0x7e29855244ca,0x7e29855244cf,0,63,1
0x7e29855244d6,0x7e29855244c8,1,63,1
0x7e29855244ca,0x7e29855244cf,0,127,1
0x7e29855244d6,0x7e29855244c8,1,127,1
0x7e29855244ca,0x7e29855244cf,0,255,1
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,255,1
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,255,1
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,255,1
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,255,0
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,254,0
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,252,0
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,248,0
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,240,0
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,224,0
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,192,0
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,128,0
0x7e29855244d6,0x7e29855244c8,1,255,1
0x7e29855244ca,0x7e29855244cf,0,0,0
0x7e29855244d6,0x7e29855244c8,1,255,0
0x7e29855244e6,0x7e29855244b3,1,0,0
0x7e2985524514,0x7e29855247c7,0,0,0
0x7e2985524523,0x7e2985524561,0,0,0
0x7e2985524557,0x7e2985524561,0,0,1
0x7e2985524564,0x7e29855245c5,0,0,1
0x7e2985524609,0x7e29855246af,0,0,1
0x7e29855246b2,0x7e2985524640,1,0,1
0x7e298552465c,0x7e29855246ab,0,0,0
0x7e2985524663,0x7e2985524694,0,0,0
0x7e2985524688,0x7e2985524694,0,0,1
0x7e2985524698,0x7e29855246a7,0,0,1
0x7e29855246b2,0x7e2985524640,1,1,1
0x7e298552465c,0x7e29855246ab,0,0,0
0x7e2985524663,0x7e2985524694,0,0,0
0x7e2985524688,0x7e2985524694,0,1,1
0x7e2985524698,0x7e29855246a7,0,1,1
0x7e29855246b2,0x7e2985524640,1,3,1
0x7e298552465c,0x7e29855246ab,0,0,0
0x7e2985524663,0x7e2985524694,0,0,0
0x7e2985524688,0x7e2985524694,0,3,1
0x7e2985524698,0x7e29855246a7,0,3,0
0x7e298552469e,0x7e29855246ab,0,0,1
0x7e29855246b2,0x7e2985524640,1,7,0
0x7e29855246bb,0x7e29855246f8,0,0,0
0x7e2985524609,0x7e29855246af,0,1,1
0x7e29855246b2,0x7e2985524640,1,14,0
0x7e29855246bb,0x7e29855246f8,0,0,1
0x7e29855171c1,0x7e2985517228,0,0,0
0x7e29855171ce,0x7e2985517220,0,0,0
0x7e29855171e5,0x7e2985517260,0,0,0
0x7e298552220a,0x7e298552221a,0,0,0
0x7e2985522218,0x7e2985522210,1,0,1
0x7e2985522218,0x7e2985522210,1,1,1
0x7e2985522218,0x7e2985522210,1,3,1
0x7e2985522218,0x7e2985522210,1,7,1
0x7e2985522218,0x7e2985522210,1,15,1
0x7e2985522218,0x7e2985522210,1,31,1
0x7e2985522218,0x7e2985522210,1,63,1
0x7e2985522218,0x7e2985522210,1,127,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,1
0x7e2985522218,0x7e2985522210,1,255,0
0x7e2985522261,0x7e2985522380,0,0,0
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,0,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,1,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,3,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,7,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,15,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,31,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,63,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,127,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,1
0x7e2985522274,0x7e2985522360,0,0,0
0x7e2985522290,0x7e2985522270,1,255,0
0x7e29855198e1,0x7e2985519a51,0,0,0
0x7e29855198f3,0x7e2985519a51,0,0,0
0x7e29855198ff,0x7e2985519a51,0,0,0
0x7e298551990f,0x7e2985519a8a,0,0,0
0x7e2985519917,0x7e29855198f9,1,0,0
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,0,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,1,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,3,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,7,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,15,0
0x7e2985519937,0x7e29855198f9,1,0,0
0x7e298551996d,0x7e2985519950,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,0,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,1,0
0x7e29855199b6,0x7e2985519980,1,0,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,2,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,5,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,11,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,23,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,47,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,95,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,191,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,127,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,255,0
0x7e29855199b6,0x7e2985519980,1,1,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,254,0
0x7e29855199b6,0x7e2985519980,1,3,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,252,0
0x7e29855199b6,0x7e2985519980,1,7,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,248,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,241,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,227,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,199,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,143,0
0x7e29855199b6,0x7e2985519980,1,15,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,30,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,61,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,123,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,247,0
0x7e29855199b6,0x7e2985519980,1,31,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,238,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,221,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,187,0
0x7e29855199b6,0x7e2985519980,1,63,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,118,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,237,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,219,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,183,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,111,0
0x7e29855199b6,0x7e2985519980,1,127,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,222,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,189,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,122,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,245,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,235,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,215,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,175,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,94,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,189,1
0x7e298551998d,0x7e29855198f0,1,0,1
0x7e29855198f3,0x7e2985519a51,0,0,0
0x7e29855198ff,0x7e2985519a51,0,0,0
0x7e298551990f,0x7e2985519a8a,0,0,0
0x7e2985519917,0x7e29855198f9,1,0,0
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,30,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,61,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,123,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,247,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,239,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,223,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,191,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,127,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,255,0
0x7e2985519937,0x7e29855198f9,1,0,0
0x7e298551996d,0x7e2985519950,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,123,1
0x7e298551998d,0x7e29855198f0,1,1,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,247,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,2,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,238,1
0x7e298551998d,0x7e29855198f0,1,4,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,221,1
0x7e298551998d,0x7e29855198f0,1,8,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,187,1
0x7e298551998d,0x7e29855198f0,1,16,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,119,1
0x7e298551998d,0x7e29855198f0,1,32,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,239,1
0x7e298551998d,0x7e29855198f0,1,64,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,223,1
0x7e298551998d,0x7e29855198f0,1,128,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,191,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,127,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,255,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,254,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,252,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,248,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,241,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,227,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,199,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,143,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,30,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,61,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,123,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,247,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,238,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,221,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,187,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,118,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,237,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,219,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,183,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,111,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,222,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,189,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,122,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,245,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,235,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,215,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,175,0
0x7e29855199b6,0x7e2985519980,1,255,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,94,1
0x7e298551998d,0x7e29855198f0,1,0,0
0x7e298551999b,0x7e2985519980,1,0,0
0x7e29855199a7,0x7e2985519980,1,189,1
0x7e298551998d,0x7e29855198f0,1,0,1
0x7e29855198f3,0x7e2985519a51,0,0,0
0x7e29855198ff,0x7e2985519a51,0,0,0
0x7e298551990f,0x7e2985519a8a,0,0,0
0x7e2985519917,0x7e29855198f9,1,0,0
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,254,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,253,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,251,1
0x7e298551992e,0x7e29855198f9,1,0,0
0x7e2985519933,0x7e2985519920,1,247,1
